290:minium:38894,38896:S
291:misdemean:39081,39082:S
291:misgotten:39131,39132:S
295:monopetalous:39631,39632:S
296:mordacions:39785,39787:E=mordacious (sp)
300:multisonous:40259,40260:S
300:multiversant:40278,40279:S
300:multocular:40280,40281:S
300:mungoose:40304,40305:S
308:noctavagant:41293,41294:S
311:nutant:41771,41773:S
311:nuxvomica:41783,41785:SP=nux vomica
315:octohedron:42258,42259:S
315:octopetalous:42260,42261:S
316:odontagy:42293,42294:S
317:offuscate:42453,42454:S
318:omnlfarious:42551,42552:E=omnifarious
322:orthogon:43107,43109:S
322:osteocope:43141,43142:S
323:outrlder:43318,43319:E=outrider
324:ovarious:43381,43383:S
325:overflood:43485,43506:S
325:overlenient:43542,43543:SP=over-lenient
328:palmachristi:44000,44003:SP=palma-christi
328:palmister:44004,44006:S
329:pannel:44091,44092:S
329:pannler:44093,44095:E=pannier
329:pantechnecon:44111,44112:S
333:passible:44604,44605:S
335:pecullar:44938,44945:E=peculiar
336:pedsstal:44964,44966:E=pedestal
336:pellmell:45032,45033:SP=pell-mell
337:perannum:45183,45184:SP=per annum
341:pervious:45641,45642:X
341:pharmacopaela:45724,45726:E=pharmacopaeia
348:plungeon:46595,46596:S
350:polygenous:46834,46835:S
352:potulent:47220,47221:X
355:precogltate:47533,47535:E=precogitate
356:preknowledge:47686,47687:SP=pre-knowledge
359:previse:48101,48104:S
364:pralopse:48648,48650:E=prolapse
367:protend:49024,49025:S
368:prythee:49220,49222:S
369:pugfaced:49311,49312:SP=pug-faced
370:purlleu:49491,49492:E=purlieu
372:putrify:49649,49656:S
372:quadrenmal:49701,49702:E=quadrennial
373:quean:49836,49837:S
382:recrement:50984,50985:S
387:rellct:51636,51637:E=relict
399:ripost:53153,53155:S
403:ruflian:53604,53606:E=ruffian
405:sachel:53832,53833:S
406:saltant:54030,54031:S
407:sanable:54085,54086:S
408:sarcophagous:54192,54193:S
409:scall:54381,54382:S
409:scaramouch:54428,54429:S
410:scate:54468,54469:X
410:seeptre:54522,54526:E=sceptre
418:septagenarian:55494,55495:S
420:setateous:55740,55741:S
428:sitzbath:56818,56819:SP=sitz-bath
431:siudge:57181,57182:E=sludge
438:spawl:58116,58117:S
442:springe:58598,58599:S
450:striete:59635,59636:E=striate
454:subterrsnean:60135,60139:E=subterranean
454:subuib:60156,60159:E=suburb
456:summumbonum:60421,60423:SP=summum-bonum
465:teteatete:61733,61734:SP=tete-a-tete
469:timberel:62280,62282:S
472:topsyturvy:62575,62576:S
473:tranqull:62793,62801:E=tranquil
476:triped:63149,63150:S
476:troly:63183,63184:E=trolly  (scan err)
478:tussel:63482,63483:S
479:tynpanum:63570,63571:E=tympanum  (scan err)
480:unceremonlous:63695,63697:E=unceremonious
482:untll:64109,64110:E=until
483:ursamajor:64217,64218:SP=ursa-major
483:utoplan:64297,64299:E=utopian
484:valld:64373,64376:E=valid
486:verisimillitude:64624,64625:E=verisimilitude
488:vitrious:64955,64957:S
488:vivavoce:64967,64968:SP=viva-voce
489:walve:65168,65169:E=waive
492:wednescay:65543,65544:E=wednesday
493:wether:65660,65661:S
